,username,text,hashtags,created_at,date,hour,,,,,
69,1067857808,"has received more than $12 billion in aid in the form of and since February , - Prime Minister Shmyhal .Putting this in perspective this amount is larger than the defence budget of &amp; x the Ukrainian budget .All disappeared!","['Ukraine', 'weapons', 'finance', 'Pakistan', 'Defence']",2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
70,1.31383367799509E+018,"Gold Bug Peter Schiff Still Bemoans Bitcoin Mining, But Against an OutrightBan",[],2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
71,551603333,"I got COVID buddy. It was nothing! dose for me way back in October and passed COVID like a fart this April. Just because your experience was bad, doesnt make everyones experience bad. Did you ever stop to think maybe its your booster that got you more sick???",[],2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
72,1.30457132488352E+018,"If this turns out to be the case, the discourse will immediately pivot to how rare these cases are considering the vast numbers of kids infected with Covid world-wide. Cases are exceedingly rare, your kids chances of getting this less than zero, etc etc.",[],2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
73,1.40308008446709E+018,": hearing various News and Peoples views, it is plain to see that a lot of people look on a Government as something to provide them with a living without the need for any input.",[],2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
74,1.17657932584552E+018,Content of the article on -05-06T09:55:49.922Z will be here. Feel free to add to it.,[],2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
75,7.37248860515537E+017,Breaking News: Dr Strange just found Biden votes in the Multiverse.,[],2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
76,19907085,Gateshead's declarations have started - updates,['LocalElection2022'],2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
77,172886682,As per usual Kuenssberg is trotting out the Conservative party line.,[],2022-05-06T09:55:51.000Z,2022-05-06,9,,,,,
79,1.46721983497501E+018,Fake news,[],2022-05-06T10:55:59.000Z,2022-05-06,10,,,,,
80,1.35445112476658E+018,"Remember as well, we still have Wales and Scotland results to come in. They are not Tory heartlands, which will bolster Labour I am assuming, seeing as the Tories are not popular in these places. Can't see any good news for the Tories today.",[],2022-05-06T10:55:59.000Z,2022-05-06,10,,,,,
81,1946346360,The address where Eurosceptics and climate change sceptics rub shoulders,[],2022-05-06T10:55:59.000Z,2022-05-06,10,,,,,
82,1.03884984220889E+018,"IPL : Rovman Powell wants to hit longest six in IPL history, aims m six | CricketNews",[],2022-05-06T10:55:59.000Z,2022-05-06,10,,,,,
83,1.07739893756325E+018,He is attention seeker. Always something controversial to stay in news. Like Meera,[],2022-05-06T10:55:59.000Z,2022-05-06,10,,,,,
84,4396806742,"Additional Persecution News from China April , (7 Reports)","['Persecution', 'China']",2022-05-06T10:55:59.000Z,2022-05-06,10,,,,,
85,8.94242002056892E+017,Pinterest TV Studio Livestreaming App Launched for SelectCreators,[],2022-05-06T10:55:58.000Z,2022-05-06,10,,,,,
86,1.51279885353107E+018,Pls is bchy ki news chlao,[],2022-05-06T10:55:58.000Z,2022-05-06,10,,,,,
87,1.39067932575892E+018,Clothing company Levi's promises to help employees get out-of-state abortions,"['GetWokeGoBroke', 'BoycottLevis', 'WranglerIsBetter']",2022-05-06T10:55:58.000Z,2022-05-06,10,,,,,
88,9.16089075110744E+017,This week's Finding Family features -year-old Jon. Those who know Jon say he is curious and does well in school. He enjoys building with Legos and playing on the computer. He would do well in a home with two parents and structure.,[],2022-05-06T10:55:58.000Z,2022-05-06,10,,,,,
89,1.51855692963481E+018,"I lost dollars buying a crypto released by Hotbit, called Green Delivery Chain (GRED), it turns out that after the coin dropped % I realized it was a Rug Pull, I presented all the evidence but Hotbit support didn't help me, don't use it this broker!",[],2022-05-06T10:55:58.000Z,2022-05-06,10,,,,,
90,1.50539083932069E+018,FREE followers giveaway try this now:,[],2022-05-06T10:55:58.000Z,2022-05-06,10,,,,,
91,1.19605720950482E+018,"Losing Weight Can Help You Avoid This Type of Cancer, Study Finds ://","['news', 'weightloss', 'eatthis']",2022-05-06T10:55:58.000Z,2022-05-06,10,,,,,
92,1.36936519865038E+018,A POST COVID INITIATIVE,[],2022-05-06T10:55:58.000Z,2022-05-06,10,,,,,
93,29324390,STOCKS STRUGGLE,[],2022-05-06T10:55:57.000Z,2022-05-06,10,,,,,
94,2596516920,When you have the news at and a flight to the Derby at,"['KentuckyDerby', 'PassTheMintJuleps', 'TGIF']",2022-05-06T10:55:57.000Z,2022-05-06,10,,,,,
95,1.5199310242511E+018,"Angad Bedi Biography: Age, Height, Weight, Girl friend, Wife, Net Worth &amp; More via","['TrendingBiography', 'Newsdoor24', 'AngadBediBiography', 'AngadBediWikipedia', 'AngadBediAge', 'AngadBediBollywood', 'BollywoodActor', 'BollywoodNews', 'News', 'Biography']",2022-05-06T10:55:57.000Z,2022-05-06,10,,,,,
96,1.51738223674767E+018,"Why not just can the show. I agree it was one of my do not miss, favorites for years. Not any more. It is a joke with a merry go round of shockers as panelists with no credibility or knowledge sprouting what they hear on the ""news"". No real contribution. Waste of time.",[],2022-05-06T10:55:57.000Z,2022-05-06,10,,,,,
97,8.37102136529912E+017,"Up Next On The News: Resident Garage Band Member Is Apathetic Towards Mothman, Coming Up At",[],2022-05-06T10:55:57.000Z,2022-05-06,10,,,,,
98,29324390,Louisiana to charge abortion as homicide?,[],2022-05-06T10:55:57.000Z,2022-05-06,10,,,,,
99,465237840,Hacking Systems with theft of finger prints ID Theft ? Introducing Fingerprint Lock for Android,['Meta'],2022-05-06T10:55:57.000Z,2022-05-06,10,,,,,
100,1.00580593946163E+018,Expect Antifa terror to ramp up as abortion rallies hit the streets,[],2022-05-06T10:55:56.000Z,2022-05-06,10,,,,,
101,1.08971081559755E+018,another as,"['Mourinho', 'sets', 'record', 'Roma', 'book', 'Conference', 'League', 'final', 'F4F', 'FollowMe', 'FollowBack', 'FollowForFollow', 'rtitbot', 'RT', 'Follow', 'mJmNews', 'football', 'goals', 'greatgoals', 'mjmnews', 'mjmnewstoday', 'soccer', 'sports']",2022-05-06T10:55:56.000Z,2022-05-06,10,,,,,
102,29324390,US intel helped sink Russian warship...,[],2022-05-06T10:55:56.000Z,2022-05-06,10,,,,,
103,955153368,"RAI Daniele Piervincensi -Ukraine in the village of Orichiv, this journalist together with the locals have found parts of magnesium bombs that Russia have used to bomb the city with Magnesium reaches a temperature of C","['UkraineRussiaWar', 'Ukraine']",2022-05-06T10:55:56.000Z,2022-05-06,10,,,,,
104,189378378,No one told me that diarrhea was a Covid symptom.,[],2022-05-06T10:55:56.000Z,2022-05-06,10,,,,,
105,1.42315565815377E+018,"Now days DNA testing is very expensive, just insult your Baby Mama's friends and you'll hear the News",[],2022-05-06T10:55:56.000Z,2022-05-06,10,,,,,
106,485282671,"The pandemic has shed light on the value of vaccine research, and Im of the commitment weve made to help pioneer vaccine innovation.","['COVID19', 'PfizerProud', 'WorldImmunizationWeek', 'PFEColleague']",2022-05-06T10:55:56.000Z,2022-05-06,10,,,,,
107,1.45332407368196E+018,"Youre cordially invited! $STARL Arena Grand Reveal Party, /6, - UTC Live music, contests, giveaways, &amp; more! For all the details scan the code Or visit *This is a FREE TO ALL virtual event! Stay tuned for more details! /2",['STARLParty'],2022-05-06T10:55:55.000Z,2022-05-06,10,,,,,
108,1.51833384400024E+018,"|'The main hospital in war-ravaged region of has sent home patients after food supplies ran out last week, officials have said.'","['Ethiopia', 'Tigray', 'StopWarOnTigray', 'TigrayGenocide']",2022-05-06T10:55:55.000Z,2022-05-06,10,,,,,
109,1.20839191191825E+018,Democrats use Supreme Court abortion leak to push radical changes in US government,[],2022-05-06T10:55:55.000Z,2022-05-06,10,,,,,
110,549054389,Go to the moon Great! This is a great news! I have not seen before such a project you are doing a wonderful job,[],2022-05-06T10:55:55.000Z,2022-05-06,10,,,,,
111,114095031,Swoop expands service to Kelowna -,[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
112,4688373872,Inside the Division: how a small team of US prosecutors fight decades of shocking injustice,[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
113,8.23573706857447E+017,Brilliant news,[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
114,29324390,Pope in wheelchair...,[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
